,Unnamed: 0,Weight,Colour,Wheels,Height,Classification
0,0,142.23991385438438,red,2,[73],Bike
1,1,158.48371808714427,blue,2,[56],Bike
2,2,336.0858144267531,green,4,[5],Car
3,3,258.10004933434044,yellow,3,[61],Bike
4,4,126.41542861387649,black,2,[72],Bike
5,5,151.24499348808445,white,2,[64],Bike
6,6,434.984235954608,grey,4,[41],Car
7,7,378.6342707186564,purple,4,[33],Car
8,8,484.2689290979722,radish,4,[49],Car
9,9,222.57995012084905,pink,3,[69],Bike
10,10,452.3672940946364,red,4,[1],Car
11,11,332.41619808326493,blue,4,[39],Car
12,12,238.27463948198604,green,3,[69],Bike
13,13,371.04952955987744,yellow,4,[47],Car
14,14,197.24686243581,black,2,[55],Bike
15,15,274.137056780434,white,3,[57],Bike
16,16,348.6140368491732,grey,4,[8],Car
17,17,491.931951081708,purple,4,[35],Car
18,18,384.9343860620125,radish,4,[9],Car
19,19,215.72564354782884,pink,2,[98],Bike
20,20,454.9870658796538,red,4,[20],Car
21,21,173.9941637391339,blue,2,[55],Bike
22,22,498.6623061833755,green,4,[26],Car
23,23,222.6287584261625,yellow,3,[55],Bike
24,24,164.75550116155003,black,2,[50],Bike
25,25,262.7055337998939,white,3,[67],Bike
26,26,337.42786339677923,grey,4,[43],Car
27,27,253.59500247327188,purple,3,[64],Bike
28,28,113.8407147907122,radish,2,[62],Bike
29,29,344.50246190123755,pink,4,[43],Car
30,30,321.8938990159916,red,4,[12],Car
31,31,444.8108292116181,blue,4,[28],Car
32,32,491.1769358266733,green,4,[5],Car
33,33,271.9307975351182,yellow,3,[69],Bike
34,34,410.66148684944415,black,4,[37],Car
35,35,413.6320079319547,white,4,[8],Car
36,36,382.5299654346169,grey,4,[2],Car
37,37,439.4841799329664,purple,4,[18],Car
38,38,395.46426326069263,radish,4,[5],Car
39,39,102.43293199142052,pink,2,[62],Bike
40,40,276.4524370830469,red,3,[50],Bike
41,41,250.48643818433152,blue,3,[68],Bike
42,42,405.5859435198767,green,4,[3],Car
43,43,303.35358232342514,yellow,4,[49],Car
44,44,165.53168991132262,black,2,[74],Bike
45,45,233.5025145374121,white,3,[55],Bike
46,46,317.40555229181416,grey,4,[2],Car
47,47,187.39128019613904,purple,2,[86],Bike
48,48,388.4894310130253,radish,4,[48],Car
49,49,144.59518818766043,pink,2,[87],Bike
50,50,316.91069056871726,red,4,[38],Car
51,51,270.18168131371715,blue,3,[63],Bike
52,52,158.12112327381746,green,2,[75],Bike
53,53,453.1170303571615,yellow,4,[14],Car
54,54,115.00076754381136,black,2,[72],Bike
55,55,299.3785782620538,white,3,[67],Bike
56,56,307.0075873397988,grey,4,[28],Car
57,57,210.0173418522819,purple,2,[62],Bike
58,58,402.5471314096724,radish,4,[5],Car
59,59,494.8715746706363,pink,4,[48],Car
60,60,131.83461725801297,red,2,[53],Bike
61,61,117.90464056618606,blue,2,[85],Bike
62,62,317.939217956652,green,4,[21],Car
63,63,137.8406987357859,yellow,2,[91],Bike
64,64,179.6425449408778,black,2,[68],Bike
65,65,399.5784609008792,white,4,[25],Car
66,66,325.3800965154216,grey,4,[5],Car
67,67,225.4103373410313,purple,3,[62],Bike
68,68,191.88099551483788,radish,2,[69],Bike
69,69,495.5534057908212,pink,4,[36],Car
70,70,292.6437557469964,red,3,[64],Bike
71,71,258.3242393058724,blue,3,[61],Bike
72,72,348.1187662811425,green,4,[47],Car
73,73,258.0481260628949,yellow,3,[58],Bike
74,74,413.7154096162009,black,4,[1],Car
75,75,255.1662396782904,white,3,[67],Bike
76,76,219.1452953181357,grey,2,[82],Bike
77,77,102.28758148110488,purple,2,[93],Bike
78,78,401.0463718507768,radish,4,[46],Car
79,79,141.45186087145612,pink,2,[66],Bike
80,80,429.2620246058935,red,4,[14],Car
81,81,292.9591853537777,blue,3,[59],Bike
82,82,259.55402634203,green,3,[58],Bike
83,83,407.1287119305083,yellow,4,[10],Car
84,84,133.72833416324016,black,2,[87],Bike
85,85,331.1983741960613,white,4,[3],Car
86,86,332.7235141758425,grey,4,[21],Car
87,87,486.7454849279681,purple,4,[21],Car
88,88,368.7345225390638,radish,4,[12],Car
89,89,266.58202015431215,pink,3,[61],Bike
90,90,388.7672238162913,red,4,[8],Car
91,91,408.2799858482305,blue,4,[44],Car
92,92,448.1572674833788,green,4,[28],Car
93,93,211.30481412873644,yellow,2,[86],Bike
94,94,246.6706519278517,black,3,[58],Bike
95,95,474.4619850266809,white,4,[27],Car
96,96,359.73745724179946,grey,4,[7],Car
97,97,103.98115168694018,purple,2,[60],Bike
98,98,297.02716365344986,radish,3,[63],Bike
99,99,467.5179349697888,pink,4,[35],Car
100,100,159.31770422646247,red,2,[69],Bike
101,101,286.714991274249,blue,3,[67],Bike
102,102,305.1725119122292,green,4,[9],Car
103,103,157.38815376991596,yellow,2,[55],Bike
104,104,227.6605202813901,black,3,[57],Bike
105,105,237.13667350185665,white,3,[55],Bike
106,106,389.2698051353215,grey,4,[49],Car
107,107,224.82517192018085,purple,3,[62],Bike
108,108,444.4863503193658,radish,4,[9],Car
109,109,372.39314505190833,pink,4,[36],Car
110,110,308.28466469862394,red,4,[35],Car
111,111,329.99156823364723,blue,4,[17],Car
112,112,114.51194512935103,green,2,[59],Bike
113,113,461.19417399821344,yellow,4,[43],Car
114,114,328.4457758892541,black,4,[10],Car
115,115,276.49131168283736,white,3,[50],Bike
116,116,379.28159923520326,grey,4,[19],Car
117,117,464.36738256242376,purple,4,[26],Car
118,118,272.98753748436445,radish,3,[59],Bike
119,119,224.09165995907844,pink,3,[54],Bike
120,120,357.8895081621233,red,4,[45],Car
121,121,209.1022707551492,blue,2,[79],Bike
122,122,412.4189564499737,green,4,[25],Car
123,123,395.00593159059866,yellow,4,[44],Car
124,124,261.1843186657062,black,3,[51],Bike
125,125,255.67573595227256,white,3,[50],Bike
126,126,218.52711216296407,grey,2,[69],Bike
127,127,171.0380172057146,purple,2,[81],Bike
128,128,277.9815127130809,radish,3,[67],Bike
129,129,229.5537688768441,pink,3,[50],Bike
130,130,320.1105093619776,red,4,[34],Car
131,131,206.9456685190341,blue,2,[67],Bike
132,132,411.939688777351,green,4,[49],Car
133,133,249.66795809899543,yellow,3,[69],Bike
134,134,349.43811668200823,black,4,[5],Car
135,135,472.39551151346654,white,4,[43],Car
136,136,349.1059319602083,grey,4,[18],Car
137,137,120.15972309970158,purple,2,[66],Bike
138,138,347.741616146334,radish,4,[29],Car
139,139,428.9848775574311,pink,4,[35],Car
140,140,178.7653020049429,red,2,[87],Bike
141,141,484.0779317805513,blue,4,[17],Car
142,142,424.3911826530839,green,4,[38],Car
143,143,454.7824924099677,yellow,4,[14],Car
144,144,485.1542719157962,black,4,[8],Car
145,145,150.29936010318875,white,2,[84],Bike
146,146,363.1189652445439,grey,4,[46],Car
147,147,463.1927369669991,purple,4,[28],Car
148,148,409.2477731210049,radish,4,[41],Car
149,149,121.94731158267254,pink,2,[81],Bike
150,150,243.1886510988465,red,3,[62],Bike
151,151,418.5742044183381,blue,4,[40],Car
152,152,362.18970001802535,green,4,[24],Car
153,153,136.16309331776552,yellow,2,[51],Bike
154,154,377.4873754073943,black,4,[23],Car
155,155,285.01089092660374,white,3,[51],Bike
156,156,308.6208955167475,grey,4,[47],Car
157,157,435.5765698066261,purple,4,[18],Car
158,158,338.66358682386726,radish,4,[24],Car
159,159,143.80760335227066,pink,2,[72],Bike
160,160,111.96775565589525,red,2,[56],Bike
161,161,228.7233324114236,blue,3,[55],Bike
162,162,377.0765328568333,green,4,[12],Car
163,163,124.79309606109337,yellow,2,[63],Bike
164,164,302.7901146926911,black,4,[47],Car
165,165,473.7246460596237,white,4,[49],Car
166,166,344.74241723865737,grey,4,[36],Car
167,167,371.1004474840402,purple,4,[17],Car
168,168,292.949082561689,radish,3,[55],Bike
169,169,208.52651603919583,pink,2,[92],Bike
170,170,372.9632726957559,red,4,[26],Car
171,171,472.83140773537104,blue,4,[44],Car
172,172,106.76181454304788,green,2,[51],Bike
173,173,371.3458508266594,yellow,4,[35],Car
174,174,442.8515754284711,black,4,[27],Car
175,175,150.5801946125493,white,2,[98],Bike
176,176,254.1775028929792,grey,3,[54],Bike
177,177,471.5360644714452,purple,4,[28],Car
178,178,493.4652692228346,radish,4,[17],Car
179,179,356.6792389736617,pink,4,[16],Car
180,180,119.1899415173113,red,2,[58],Bike
181,181,389.0428945309344,blue,4,[45],Car
182,182,216.3819766686129,green,2,[73],Bike
183,183,294.83633498402656,yellow,3,[57],Bike
184,184,162.4925631047301,black,2,[62],Bike
185,185,197.5928704602036,white,2,[50],Bike
186,186,121.80712074890856,grey,2,[80],Bike
187,187,262.9774205179681,purple,3,[62],Bike
188,188,422.19048892522176,radish,4,[13],Car
189,189,440.7811447685349,pink,4,[10],Car
190,190,451.69720708406686,red,4,[15],Car
191,191,286.1497799800061,blue,3,[61],Bike
192,192,367.09434757494375,green,4,[9],Car
193,193,372.7819838914315,yellow,4,[7],Car
194,194,402.4999203569503,black,4,[15],Car
195,195,449.75247973012193,white,4,[31],Car
196,196,182.8333409246752,grey,2,[63],Bike
197,197,442.03146459378814,purple,4,[20],Car
198,198,464.8738078563189,radish,4,[49],Car
199,199,128.4869870318921,pink,2,[67],Bike
200,200,381.07483432664407,red,4,[41],Car
201,201,222.02906325084305,blue,3,[68],Bike
202,202,411.66285234557023,green,4,[39],Car
203,203,465.6711889401509,yellow,4,[34],Car
204,204,371.6489563530247,black,4,[22],Car
205,205,258.58178474149605,white,3,[63],Bike
206,206,236.4349723966754,grey,3,[63],Bike
207,207,155.05805786755556,purple,2,[98],Bike
208,208,337.0747044557527,radish,4,[45],Car
209,209,105.41362911247268,pink,2,[76],Bike
210,210,412.8554267590199,red,4,[37],Car
211,211,402.1386221353356,blue,4,[16],Car
212,212,498.0659279938312,green,4,[49],Car
213,213,253.14877271614668,yellow,3,[65],Bike
214,214,341.3035300368383,black,4,[5],Car
215,215,280.5353684699383,white,3,[64],Bike
216,216,106.87467854457849,grey,2,[67],Bike
217,217,132.9171259378562,purple,2,[80],Bike
218,218,403.05618598275,radish,4,[9],Car
219,219,453.8444713875142,pink,4,[47],Car
220,220,383.9137480401481,red,4,[6],Car
221,221,406.45726583841616,blue,4,[32],Car
222,222,426.6646105482001,green,4,[22],Car
223,223,137.0017423286566,yellow,2,[50],Bike
224,224,329.8494458787568,black,4,[48],Car
225,225,110.65603717397084,white,2,[91],Bike
226,226,156.50145235771814,grey,2,[92],Bike
227,227,239.2700828949979,purple,3,[68],Bike
228,228,270.3543754967291,radish,3,[51],Bike
229,229,353.37505252333494,pink,4,[39],Car
230,230,106.44464762754184,red,2,[65],Bike
231,231,428.06239366451626,blue,4,[44],Car
232,232,365.7592373747808,green,4,[44],Car
233,233,233.78144163518027,yellow,3,[58],Bike
234,234,263.6471475496555,black,3,[54],Bike
235,235,174.63025142466336,white,2,[52],Bike
236,236,171.03191462179234,grey,2,[54],Bike
237,237,221.6097576476499,purple,3,[62],Bike
238,238,450.0962416800256,radish,4,[26],Car
239,239,309.41216200424924,pink,4,[28],Car
240,240,448.60288884839326,red,4,[7],Car
241,241,435.2370616418341,blue,4,[23],Car
242,242,215.5579644607099,green,2,[74],Bike
243,243,335.14151529429193,yellow,4,[3],Car
244,244,196.9664544677291,black,2,[63],Bike
245,245,266.6776060956462,white,3,[60],Bike
246,246,288.7833313390289,grey,3,[57],Bike
247,247,344.8976150291232,purple,4,[22],Car
248,248,128.4109809362388,radish,2,[53],Bike
249,249,453.3142238392479,pink,4,[11],Car
250,250,491.2911218357656,red,4,[8],Car
251,251,398.6235144007367,blue,4,[44],Car
252,252,435.54132790452667,green,4,[24],Car
253,253,192.09780739061875,yellow,2,[92],Bike
254,254,221.24105565990652,black,3,[61],Bike
255,255,381.3436835340625,white,4,[48],Car
256,256,229.52941614174992,grey,3,[55],Bike
257,257,396.8679084106266,purple,4,[36],Car
258,258,207.2152969835048,radish,2,[98],Bike
259,259,200.78290132582305,pink,2,[73],Bike
260,260,338.98186455222947,red,4,[32],Car
261,261,102.78652743748964,blue,2,[60],Bike
262,262,424.2101810406123,green,4,[5],Car
263,263,224.4515274875855,yellow,3,[63],Bike
264,264,380.7449628805128,black,4,[45],Car
265,265,466.811916358827,white,4,[22],Car
266,266,350.69552258256937,grey,4,[44],Car
267,267,437.335524753505,purple,4,[23],Car
268,268,402.96054199555175,radish,4,[12],Car
269,269,115.20945451520124,pink,2,[65],Bike
270,270,183.2654990469884,red,2,[50],Bike
271,271,252.6522452369753,blue,3,[68],Bike
272,272,400.7166242684148,green,4,[32],Car
273,273,454.21076119949726,yellow,4,[38],Car
274,274,231.8471961343284,black,3,[50],Bike
275,275,313.2719468778157,white,4,[9],Car
276,276,332.8574842918593,grey,4,[49],Car
277,277,434.0716296134847,purple,4,[46],Car
278,278,178.5110337770913,radish,2,[82],Bike
279,279,388.8691479551486,pink,4,[3],Car
280,280,254.56546489903644,red,3,[68],Bike
281,281,409.8643311710555,blue,4,[47],Car
282,282,310.6757914360468,green,4,[35],Car
283,283,303.4686388791558,yellow,4,[23],Car
284,284,180.17506867736057,black,2,[79],Bike
285,285,327.1873910967528,white,4,[34],Car
286,286,108.52136046111886,grey,2,[72],Bike
287,287,471.5835138584931,purple,4,[33],Car
288,288,345.31961960827385,radish,4,[17],Car
289,289,376.7435794159782,pink,4,[3],Car
290,290,402.4585827630831,red,4,[5],Car
291,291,241.5658429528413,blue,3,[58],Bike
292,292,409.3697488889917,green,4,[42],Car
293,293,466.74522100957086,yellow,4,[30],Car
294,294,305.6643711501524,black,4,[6],Car
295,295,333.9106175369411,white,4,[13],Car
296,296,356.7834303527753,grey,4,[13],Car
297,297,300.3240462990427,purple,4,[19],Car
298,298,260.18940533820546,radish,3,[62],Bike
299,299,338.6581453594917,pink,4,[31],Car
300,300,400.08282324006245,red,4,[18],Car
301,301,185.8035771261232,blue,2,[63],Bike
302,302,398.3346128690411,green,4,[29],Car
303,303,254.06417591697624,yellow,3,[53],Bike
304,304,430.1338981006741,black,4,[21],Car
305,305,264.15397085076467,white,3,[65],Bike
306,306,438.9645116873026,grey,4,[14],Car
307,307,178.13902762551015,purple,2,[87],Bike
308,308,104.50684989672214,radish,2,[99],Bike
309,309,199.27074736893184,pink,2,[87],Bike
310,310,117.48859853172448,red,2,[69],Bike
311,311,439.032711211406,blue,4,[6],Car
312,312,122.51193968721824,green,2,[64],Bike
313,313,200.90699040664984,yellow,2,[78],Bike
314,314,464.7428788295152,black,4,[17],Car
315,315,272.62027987642205,white,3,[50],Bike
316,316,175.48101195578425,grey,2,[87],Bike
317,317,220.08660916663428,purple,3,[56],Bike
318,318,227.4070169006988,radish,3,[65],Bike
319,319,203.2482616293611,pink,2,[62],Bike
320,320,146.72832709428704,red,2,[89],Bike
321,321,216.8011158253682,blue,2,[89],Bike
322,322,138.40488606709192,green,2,[76],Bike
323,323,154.9765362620015,yellow,2,[67],Bike
324,324,215.84491162289623,black,2,[91],Bike
325,325,214.2431053220045,white,2,[88],Bike
326,326,357.8503122615222,grey,4,[8],Car
327,327,380.8854504011421,purple,4,[43],Car
328,328,329.58151840587936,radish,4,[19],Car
329,329,409.0578808426396,pink,4,[37],Car
330,330,363.8391865267084,red,4,[15],Car
331,331,477.8100812073208,blue,4,[13],Car
332,332,378.0484219313509,green,4,[32],Car
333,333,264.28602916002086,yellow,3,[53],Bike
334,334,489.6674118474921,black,4,[22],Car
335,335,488.7376533790461,white,4,[9],Car
336,336,116.32141769157413,grey,2,[74],Bike
337,337,274.1078392020968,purple,3,[57],Bike
338,338,359.1186385755838,radish,4,[21],Car
339,339,236.9316472445124,pink,3,[60],Bike
340,340,326.80443031035827,red,4,[23],Car
341,341,288.0868405784538,blue,3,[68],Bike
342,342,186.35358813715573,green,2,[63],Bike
343,343,320.46799829638974,yellow,4,[5],Car
344,344,158.2633229033668,black,2,[76],Bike
345,345,356.2449964342048,white,4,[28],Car
346,346,175.79201574507158,grey,2,[81],Bike
347,347,175.9934300099712,purple,2,[60],Bike
348,348,387.13688622952907,radish,4,[10],Car
349,349,293.49639761247454,pink,3,[57],Bike
350,350,465.459510204203,red,4,[10],Car
351,351,317.60421584055524,blue,4,[7],Car
352,352,249.434244582282,green,3,[51],Bike
353,353,282.6143504611494,yellow,3,[50],Bike
354,354,467.139983149662,black,4,[31],Car
355,355,215.09016149127808,white,2,[85],Bike
356,356,159.2074801541043,grey,2,[77],Bike
357,357,291.63086894134256,purple,3,[63],Bike
358,358,351.42778480975204,radish,4,[38],Car
359,359,241.2083934577406,pink,3,[55],Bike
360,360,424.3584503866246,red,4,[9],Car
361,361,437.735722757997,blue,4,[12],Car
362,362,373.0284028308811,green,4,[41],Car
363,363,433.5870402184362,yellow,4,[34],Car
364,364,359.66615200920205,black,4,[7],Car
365,365,256.3212150902167,white,3,[56],Bike
366,366,331.57253639057416,grey,4,[20],Car
367,367,240.47733026696952,purple,3,[52],Bike
368,368,167.85832349546422,radish,2,[75],Bike
369,369,403.7277127373038,pink,4,[25],Car
370,370,318.8667768205832,red,4,[21],Car
371,371,166.81283406681527,blue,2,[70],Bike
372,372,402.3185094853748,green,4,[48],Car
373,373,293.70596186685407,yellow,3,[68],Bike
374,374,461.45691908910464,black,4,[24],Car
375,375,341.0398816312904,white,4,[1],Car
376,376,177.76361312010178,grey,2,[69],Bike
377,377,349.92169941740167,purple,4,[49],Car
378,378,125.78302999340266,radish,2,[82],Bike
379,379,434.3593965586885,pink,4,[37],Car
380,380,229.58835548101743,red,3,[50],Bike
381,381,201.28406282690025,blue,2,[93],Bike
382,382,311.1305611355338,green,4,[43],Car
383,383,199.06548162320348,yellow,2,[58],Bike
384,384,128.2971176600039,black,2,[75],Bike
385,385,334.9372134621958,white,4,[3],Car
386,386,286.71881403509406,grey,3,[57],Bike
387,387,268.8146243079012,purple,3,[59],Bike
388,388,100.20308047463811,radish,2,[70],Bike
389,389,341.4007369227022,pink,4,[15],Car
390,390,274.6811056151464,red,3,[58],Bike
391,391,488.1935556335025,blue,4,[49],Car
392,392,385.45835185301536,green,4,[19],Car
393,393,146.9241196891296,yellow,2,[80],Bike
394,394,385.8930547812541,black,4,[1],Car
395,395,118.06014486858824,white,2,[83],Bike
396,396,407.8595560351124,grey,4,[22],Car
397,397,200.61231057364583,purple,2,[87],Bike
398,398,452.334486938003,radish,4,[46],Car
399,399,176.42611731815325,pink,2,[92],Bike
400,400,465.587462962533,red,4,[18],Car
401,401,123.35269221633772,blue,2,[77],Bike
402,402,102.53733204335268,green,2,[66],Bike
403,403,462.8556042038941,yellow,4,[25],Car
404,404,182.4302986553181,black,2,[90],Bike
405,405,181.6572001544633,white,2,[65],Bike
406,406,362.0821013199476,grey,4,[11],Car
407,407,128.40602890609034,purple,2,[69],Bike
408,408,483.5473594245557,radish,4,[21],Car
409,409,222.815269345372,pink,3,[60],Bike
410,410,159.85154880744005,red,2,[61],Bike
411,411,131.35973044176092,blue,2,[75],Bike
412,412,312.8248814865801,green,4,[15],Car
413,413,474.7020646657244,yellow,4,[36],Car
414,414,427.82425980280425,black,4,[42],Car
415,415,442.4258871707976,white,4,[6],Car
416,416,313.6069732941178,grey,4,[4],Car
417,417,161.7868280588723,purple,2,[51],Bike
418,418,174.67415682638952,radish,2,[51],Bike
419,419,216.58247970359272,pink,2,[69],Bike
420,420,210.87171062343896,red,2,[98],Bike
421,421,482.92479108034246,blue,4,[18],Car
422,422,318.9329438659608,green,4,[11],Car
423,423,268.90964431990415,yellow,3,[61],Bike
424,424,210.97540875657023,black,2,[82],Bike
425,425,348.0041531572599,white,4,[1],Car
426,426,413.07628521138446,grey,4,[10],Car
427,427,465.5728090963029,purple,4,[28],Car
428,428,431.8925017425206,radish,4,[21],Car
429,429,426.20815786067067,pink,4,[35],Car
430,430,421.7428427744553,red,4,[26],Car
431,431,468.8908320480528,blue,4,[30],Car
432,432,416.5233010556145,green,4,[23],Car
433,433,494.8648265357028,yellow,4,[32],Car
434,434,354.2015067212344,black,4,[10],Car
435,435,198.67084328357515,white,2,[73],Bike
436,436,245.7737099297485,grey,3,[51],Bike
437,437,355.3633751609542,purple,4,[30],Car
438,438,406.8247041930435,radish,4,[45],Car
439,439,283.7874619273129,pink,3,[64],Bike
440,440,366.8556564069792,red,4,[23],Car
441,441,164.56043133861505,blue,2,[89],Bike
442,442,229.3526203198588,green,3,[56],Bike
443,443,476.5833857092729,yellow,4,[29],Car
444,444,458.33031186096935,black,4,[15],Car
445,445,175.93375281831496,white,2,[76],Bike
446,446,207.8991073342445,grey,2,[68],Bike
447,447,262.9645464277153,purple,3,[50],Bike
448,448,227.52362915221656,radish,3,[56],Bike
449,449,477.1181157101953,pink,4,[49],Car
450,450,358.28094044191613,red,4,[15],Car
451,451,199.84620167394,blue,2,[86],Bike
452,452,341.3851170139339,green,4,[35],Car
453,453,425.44547284916143,yellow,4,[17],Car
454,454,443.7926655634876,black,4,[46],Car
455,455,244.55080646947889,white,3,[56],Bike
456,456,119.60717855887177,grey,2,[57],Bike
457,457,296.9369736498621,purple,3,[50],Bike
458,458,318.0822513358619,radish,4,[26],Car
459,459,329.9406704263555,pink,4,[11],Car
460,460,125.75005755118,red,2,[78],Bike
461,461,493.13190257525287,blue,4,[43],Car
462,462,311.2980418221412,green,4,[47],Car
463,463,165.25529608458623,yellow,2,[56],Bike
464,464,325.9238902252367,black,4,[33],Car
465,465,231.9060541224836,white,3,[63],Bike
466,466,353.48981765947934,grey,4,[20],Car
467,467,162.4894924961803,purple,2,[76],Bike
468,468,394.9363002215164,radish,4,[18],Car
469,469,104.1239511346597,pink,2,[87],Bike
470,470,334.77292195310633,red,4,[20],Car
471,471,359.4024246876939,blue,4,[19],Car
472,472,412.5893400601776,green,4,[2],Car
473,473,365.9792548817711,yellow,4,[34],Car
474,474,198.17699629985657,black,2,[82],Bike
475,475,139.58613639587344,white,2,[65],Bike
476,476,427.9574823929722,grey,4,[9],Car
477,477,417.6421011987499,purple,4,[14],Car
478,478,209.3193301688858,radish,2,[74],Bike
479,479,328.93621495285936,pink,4,[13],Car
480,480,438.77072670620754,red,4,[32],Car
481,481,345.44128549522657,blue,4,[33],Car
482,482,194.5111589749811,green,2,[91],Bike
483,483,185.32037573468224,yellow,2,[60],Bike
484,484,107.19083456069924,black,2,[94],Bike
485,485,418.4915045579943,white,4,[5],Car
486,486,180.06599812983694,grey,2,[65],Bike
487,487,298.38928504815914,purple,3,[55],Bike
488,488,430.9354454731198,radish,4,[35],Car
489,489,257.884310676543,pink,3,[59],Bike
490,490,482.57817904095566,red,4,[41],Car
491,491,285.6884377134935,blue,3,[53],Bike
492,492,439.7815095031784,green,4,[27],Car
493,493,144.8512756675231,yellow,2,[86],Bike
494,494,412.0249398255887,black,4,[1],Car
495,495,118.81682473907397,white,2,[64],Bike
496,496,468.7762403385383,grey,4,[5],Car
497,497,328.6451371552548,purple,4,[1],Car
498,498,398.9924995886285,radish,4,[7],Car
499,499,230.82237780010303,pink,3,[69],Bike
500,500,108.91397811948282,red,2,[99],Bike
501,501,234.3658989787138,blue,3,[60],Bike
502,502,443.624823462063,green,4,[41],Car
503,503,379.7769461501804,yellow,4,[44],Car
504,504,416.69358646746366,black,4,[41],Car
505,505,243.37500073722623,white,3,[62],Bike
506,506,152.98932585059495,grey,2,[73],Bike
507,507,448.19814078111466,purple,4,[45],Car
508,508,265.8323045390121,radish,3,[50],Bike
509,509,186.1524880670484,pink,2,[76],Bike
510,510,246.95696924753884,red,3,[52],Bike
511,511,298.5551246923304,blue,3,[63],Bike
512,512,148.23325547844402,green,2,[80],Bike
513,513,394.4998180144586,yellow,4,[48],Car
514,514,390.1075312074529,black,4,[24],Car
515,515,213.62929380032983,white,2,[56],Bike
516,516,403.84621805982766,grey,4,[11],Car
517,517,256.20528542629086,purple,3,[66],Bike
518,518,124.5741472119828,radish,2,[84],Bike
519,519,150.1235394383762,pink,2,[97],Bike
520,520,283.5221261140488,red,3,[64],Bike
521,521,287.72249626135056,blue,3,[56],Bike
522,522,202.28335362043896,green,2,[91],Bike
523,523,193.05894620277311,yellow,2,[75],Bike
524,524,199.9373362844501,black,2,[97],Bike
