,Weight,Colour,Wheels,Height
0,142.23991385438438,red,2,[73]
1,158.48371808714427,blue,2,[56]
2,336.0858144267531,green,4,[5]
3,258.10004933434044,yellow,3,[61]
4,126.41542861387649,black,2,[72]
5,151.24499348808445,white,2,[64]
6,434.984235954608,grey,4,[41]
7,378.6342707186564,purple,4,[33]
8,484.2689290979722,radish,4,[49]
9,222.57995012084905,pink,3,[69]
10,452.3672940946364,red,4,[1]
11,332.41619808326493,blue,4,[39]
12,238.27463948198604,green,3,[69]
13,371.04952955987744,yellow,4,[47]
14,197.24686243581,black,2,[55]
15,274.137056780434,white,3,[57]
16,348.6140368491732,grey,4,[8]
17,491.931951081708,purple,4,[35]
18,384.9343860620125,radish,4,[9]
19,215.72564354782884,pink,2,[98]
20,454.9870658796538,red,4,[20]
21,173.9941637391339,blue,2,[55]
22,498.6623061833755,green,4,[26]
23,222.6287584261625,yellow,3,[55]
24,164.75550116155003,black,2,[50]
25,262.7055337998939,white,3,[67]
26,337.42786339677923,grey,4,[43]
27,253.59500247327188,purple,3,[64]
28,113.8407147907122,radish,2,[62]
29,344.50246190123755,pink,4,[43]
30,321.8938990159916,red,4,[12]
31,444.8108292116181,blue,4,[28]
32,491.1769358266733,green,4,[5]
33,271.9307975351182,yellow,3,[69]
34,410.66148684944415,black,4,[37]
35,413.6320079319547,white,4,[8]
36,382.5299654346169,grey,4,[2]
37,439.4841799329664,purple,4,[18]
38,395.46426326069263,radish,4,[5]
39,102.43293199142052,pink,2,[62]
40,276.4524370830469,red,3,[50]
41,250.48643818433152,blue,3,[68]
42,405.5859435198767,green,4,[3]
43,303.35358232342514,yellow,4,[49]
44,165.53168991132262,black,2,[74]
45,233.5025145374121,white,3,[55]
46,317.40555229181416,grey,4,[2]
47,187.39128019613904,purple,2,[86]
48,388.4894310130253,radish,4,[48]
49,144.59518818766043,pink,2,[87]
50,316.91069056871726,red,4,[38]
51,270.18168131371715,blue,3,[63]
52,158.12112327381746,green,2,[75]
53,453.1170303571615,yellow,4,[14]
54,115.00076754381136,black,2,[72]
55,299.3785782620538,white,3,[67]
56,307.0075873397988,grey,4,[28]
57,210.0173418522819,purple,2,[62]
58,402.5471314096724,radish,4,[5]
59,494.8715746706363,pink,4,[48]
60,131.83461725801297,red,2,[53]
61,117.90464056618606,blue,2,[85]
62,317.939217956652,green,4,[21]
63,137.8406987357859,yellow,2,[91]
64,179.6425449408778,black,2,[68]
65,399.5784609008792,white,4,[25]
66,325.3800965154216,grey,4,[5]
67,225.4103373410313,purple,3,[62]
68,191.88099551483788,radish,2,[69]
69,495.5534057908212,pink,4,[36]
70,292.6437557469964,red,3,[64]
71,258.3242393058724,blue,3,[61]
72,348.1187662811425,green,4,[47]
73,258.0481260628949,yellow,3,[58]
74,413.7154096162009,black,4,[1]
75,255.1662396782904,white,3,[67]
76,219.1452953181357,grey,2,[82]
77,102.28758148110488,purple,2,[93]
78,401.0463718507768,radish,4,[46]
79,141.45186087145612,pink,2,[66]
80,429.2620246058935,red,4,[14]
81,292.9591853537777,blue,3,[59]
82,259.55402634203,green,3,[58]
83,407.1287119305083,yellow,4,[10]
84,133.72833416324016,black,2,[87]
85,331.1983741960613,white,4,[3]
86,332.7235141758425,grey,4,[21]
87,486.7454849279681,purple,4,[21]
88,368.7345225390638,radish,4,[12]
89,266.58202015431215,pink,3,[61]
90,388.7672238162913,red,4,[8]
91,408.2799858482305,blue,4,[44]
92,448.1572674833788,green,4,[28]
93,211.30481412873644,yellow,2,[86]
94,246.6706519278517,black,3,[58]
95,474.4619850266809,white,4,[27]
96,359.73745724179946,grey,4,[7]
97,103.98115168694018,purple,2,[60]
98,297.02716365344986,radish,3,[63]
99,467.5179349697888,pink,4,[35]
100,159.31770422646247,red,2,[69]
101,286.714991274249,blue,3,[67]
102,305.1725119122292,green,4,[9]
103,157.38815376991596,yellow,2,[55]
104,227.6605202813901,black,3,[57]
105,237.13667350185665,white,3,[55]
106,389.2698051353215,grey,4,[49]
107,224.82517192018085,purple,3,[62]
108,444.4863503193658,radish,4,[9]
109,372.39314505190833,pink,4,[36]
110,308.28466469862394,red,4,[35]
111,329.99156823364723,blue,4,[17]
112,114.51194512935103,green,2,[59]
113,461.19417399821344,yellow,4,[43]
114,328.4457758892541,black,4,[10]
115,276.49131168283736,white,3,[50]
116,379.28159923520326,grey,4,[19]
117,464.36738256242376,purple,4,[26]
118,272.98753748436445,radish,3,[59]
119,224.09165995907844,pink,3,[54]
120,357.8895081621233,red,4,[45]
121,209.1022707551492,blue,2,[79]
122,412.4189564499737,green,4,[25]
123,395.00593159059866,yellow,4,[44]
124,261.1843186657062,black,3,[51]
125,255.67573595227256,white,3,[50]
126,218.52711216296407,grey,2,[69]
127,171.0380172057146,purple,2,[81]
128,277.9815127130809,radish,3,[67]
129,229.55376887684412,pink,3,[50]
130,320.1105093619776,red,4,[34]
131,206.9456685190341,blue,2,[67]
132,411.939688777351,green,4,[49]
133,249.66795809899543,yellow,3,[69]
134,349.43811668200823,black,4,[5]
135,472.39551151346654,white,4,[43]
136,349.1059319602083,grey,4,[18]
137,120.15972309970158,purple,2,[66]
138,347.741616146334,radish,4,[29]
139,428.9848775574311,pink,4,[35]
140,178.7653020049429,red,2,[87]
141,484.0779317805513,blue,4,[17]
142,424.3911826530839,green,4,[38]
143,454.7824924099677,yellow,4,[14]
144,485.1542719157962,black,4,[8]
145,150.29936010318875,white,2,[84]
146,363.1189652445439,grey,4,[46]
147,463.1927369669991,purple,4,[28]
148,409.2477731210049,radish,4,[41]
149,121.94731158267254,pink,2,[81]
150,243.1886510988465,red,3,[62]
151,418.5742044183381,blue,4,[40]
152,362.18970001802535,green,4,[24]
153,136.16309331776552,yellow,2,[51]
154,377.4873754073943,black,4,[23]
155,285.01089092660374,white,3,[51]
156,308.6208955167475,grey,4,[47]
157,435.5765698066261,purple,4,[18]
158,338.66358682386726,radish,4,[24]
159,143.80760335227066,pink,2,[72]
160,111.96775565589525,red,2,[56]
161,228.7233324114236,blue,3,[55]
162,377.0765328568333,green,4,[12]
163,124.79309606109337,yellow,2,[63]
164,302.7901146926911,black,4,[47]
165,473.7246460596237,white,4,[49]
166,344.74241723865737,grey,4,[36]
167,371.1004474840402,purple,4,[17]
168,292.949082561689,radish,3,[55]
169,208.52651603919583,pink,2,[92]
170,372.9632726957559,red,4,[26]
171,472.83140773537104,blue,4,[44]
172,106.76181454304788,green,2,[51]
173,371.3458508266594,yellow,4,[35]
174,442.8515754284711,black,4,[27]
175,150.5801946125493,white,2,[98]
176,254.1775028929792,grey,3,[54]
177,471.5360644714452,purple,4,[28]
178,493.4652692228346,radish,4,[17]
179,356.6792389736617,pink,4,[16]
180,119.1899415173113,red,2,[58]
181,389.0428945309344,blue,4,[45]
182,216.3819766686129,green,2,[73]
183,294.83633498402656,yellow,3,[57]
184,162.4925631047301,black,2,[62]
185,197.5928704602036,white,2,[50]
186,121.80712074890856,grey,2,[80]
187,262.9774205179681,purple,3,[62]
188,422.19048892522176,radish,4,[13]
189,440.7811447685349,pink,4,[10]
190,451.69720708406686,red,4,[15]
191,286.1497799800061,blue,3,[61]
192,367.09434757494375,green,4,[9]
193,372.7819838914315,yellow,4,[7]
194,402.4999203569503,black,4,[15]
195,449.75247973012193,white,4,[31]
196,182.8333409246752,grey,2,[63]
197,442.03146459378814,purple,4,[20]
198,464.8738078563189,radish,4,[49]
199,128.4869870318921,pink,2,[67]
200,381.07483432664407,red,4,[41]
201,222.02906325084305,blue,3,[68]
202,411.66285234557023,green,4,[39]
203,465.6711889401509,yellow,4,[34]
204,371.6489563530247,black,4,[22]
205,258.58178474149605,white,3,[63]
206,236.4349723966754,grey,3,[63]
207,155.05805786755556,purple,2,[98]
208,337.0747044557527,radish,4,[45]
209,105.41362911247268,pink,2,[76]
210,412.8554267590199,red,4,[37]
211,402.1386221353356,blue,4,[16]
212,498.0659279938312,green,4,[49]
213,253.14877271614668,yellow,3,[65]
214,341.3035300368383,black,4,[5]
215,280.5353684699383,white,3,[64]
216,106.87467854457849,grey,2,[67]
